01452 + HUBBARDSTON,"$                 10,941"
01453 + LEOMINSTER,"$           7,204,958"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
01462 + LUNENBURG,"$           2,700,025"
01463 + PEPPERELL,"$              987,890"
01464 + SHIRLEY,"$              923,063"
01468 + TEMPLETON,"$                 12,026"
01469 + TOWNSEND,"$              130,072"
01472 + GROTON,"$                 10,073"
01473 + WESTMINSTER,"$              423,242"
01474 + TOWNSEND,"$              416,180"
01475 + WINCHENDON,"$              711,261"
01501 + AUBURN,"$           1,556,645"
01501 + WORCESTER,"$                 13,431"
01503 + BERLIN,"$                 20,943"
01504 + BLACKSTONE,"$              558,678"
01505 + BOYLSTON,"$              377,050"
01506 + BROOKFIELD,"$              445,588"
01507 + CHARLTON,"$              261,310"
01508 + CHARLTON,$                            -
01508 + CHARLTON CITY,"$              164,848"
01510 + CLINTON,"$           3,543,224"
01515 + E BROOKFIELD,"$              603,497"
01516 + DOUGLAS,"$              203,751"
01518 + FISKDALE,"$                 36,793"
01519 + GRAFTON,"$              295,060"
01520 + HOLDEN,"$              953,959"
01521 + HOLLAND,"$              314,530"
01523 + LANCASTER,"$                   3,711"
01524 + LEICESTER,"$           1,165,231"
01525 + LINWOOD,"$              781,738"
01526 + MANCHAUG,"$                 95,598"
01526 + SUTTON,$                            -
01527 + MILLBURY,"$           2,307,529"
01529 + MILLVILLE,"$              320,990"
01532 + NORTHBORO,"$           1,812,801"
01534 + NORTHBRIDGE,"$                 96,353"
01535 + N BROOKFIELD,"$              515,877"
01536 + GRAFTON,"$              362,358"
01536 + N GRAFTON,"$           1,165,189"
01537 + N OXFORD,"$           1,620,846"
01537 + OXFORD,"$              453,374"
01538 + N UXBRIDGE,"$              234,789"
01540 + OXFORD,"$           2,087,234"
01541 + PRINCETON,"$                   1,997"
01542 + LEICESTER,"$                 17,914"
01542 + ROCHDALE,"$              229,902"
01543 + RUTLAND,"$              353,142"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
01550 + SOUTHBRIDGE,"$           2,854,687"
01560 + GRAFTON,"$                   8,856"
01560 + S GRAFTON,"$              202,307"
01561 + LANCASTER,"$                   6,207"
01562 + SPENCER,"$           1,034,029"
01564 + STERLING,"$           1,223,125"
01565 + STERLING,"$                 25,621"
01566 + STURBRIDGE,"$                 44,580"
01568 + UPTON,"$              514,934"
01569 + UXBRIDGE,"$           1,435,757"
01570 + DUDLEY,"$                 97,634"
01570 + WEBSTER,"$           5,639,391"
01571 + DUDLEY,"$           2,253,602"
01581 + WESTBORO,"$           1,794,960"
01583 + W BOYLSTON,"$           3,931,707"
01585 + W BROOKFIELD,"$              682,375"
01588 + NORTHBRIDGE,"$                 50,250"
01588 + WHITINSVILLE,"$              477,932"
01590 + SUTTON,"$              632,949"
01602 + WORCESTER,"$              931,784"
01603 + WORCESTER,"$           3,917,108"
01604 + WORCESTER,"$           6,338,698"
01605 + WORCESTER,"$           2,321,713"
01606 + WORCESTER,"$           2,769,705"
01607 + WORCESTER,"$           1,730,023"
01608 + WORCESTER,"$           1,744,739"
01609 + WORCESTER,"$              618,101"
01610 + WORCESTER,"$           4,258,417"
01611 + CHERRY VALLEY,"$              398,193"
01612 + PAXTON,"$                 58,761"
01613 + WORCESTER,"$                 64,716"
01701 + FRAMINGHAM,"$           6,687,040"
01702 + FRAMINGHAM,"$              147,275"
01719 + BOXBORO,"$                   9,752"
01720 + ACTON,"$              170,428"
01721 + ASHLAND,"$           3,843,563"
01730 + BEDFORD,"$              864,291"
01740 + BOLTON,"$              298,981"
01742 + CONCORD,"$              343,720"
01745 + SOUTHBORO,"$              408,421"
01746 + HOLLISTON,"$              291,956"
01747 + HOPEDALE,"$                 65,466"
01748 + HOPKINTON,"$              622,462"
01749 + HUDSON,"$           1,156,043"
01752 + MARLBORO,"$           3,995,461"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
01756 + MENDON,"$              402,181"
01757 + MENDON,"$                   2,542"
01757 + MILFORD,"$           4,935,888"
01760 + FRAMINGHAM,$                            -
01760 + NATICK,"$           2,430,121"
01770 + SHERBORN,$                            -
01772 + SOUTHBORO,"$              419,521"
01773 + LINCOLN,$                            -
01775 + STOW,"$                 18,130"
01776 + SUDBURY,"$              286,936"
01778 + WAYLAND,"$           2,126,041"
01801 + WOBURN,"$           5,710,903"
01803 + BURLINGTON,"$           1,672,110"
01810 + ANDOVER,"$           2,351,581"
01821 + BILLERICA,"$           4,044,179"
01821 + CHELMSFORD,"$                   1,685"
01824 + CHELMSFORD,"$           3,086,629"
01826 + DRACUT,"$           9,151,160"
01827 + DUNSTABLE,"$                 13,565"
01830 + BRADFORD,"$              229,298"
01830 + HAVERHILL,"$           5,171,473"
01832 + HAVERHILL,"$           2,748,122"
01833 + GEORGETOWN,"$              604,101"
01834 + GROVELAND,"$           1,236,310"
01835 + BRADFORD,"$           1,021,186"
01835 + HAVERHILL,"$              353,943"
01840 + LAWRENCE,"$              153,239"
01841 + LAWRENCE,"$              612,744"
01842 + LAWRENCE,"$                   7,316"
01843 + LAWRENCE,"$           2,044,471"
01844 + METHUEN,"$         11,825,515"
01845 + N ANDOVER,"$           2,767,809"
01850 + LOWELL,"$           1,164,678"
01851 + LOWELL,"$           1,008,143"
01852 + LOWELL,"$           4,800,859"
01853 + LOWELL,"$              461,354"
01854 + LOWELL,"$           2,639,180"
01860 + MERRIMAC,"$              926,677"
01862 + BILLERICA,"$           1,048,023"
01862 + N BILLERICA,"$              759,595"
01863 + CHELMSFORD,"$              109,087"
01863 + N CHELMSFORD,"$           1,805,947"
01864 + N READING,"$           5,061,377"
01865 + BILLERICA,"$              923,182"
01866 + BILLERICA,$                            -
Mass. Lottery KENO Sales by ZIP - 2009,Sales
01876 + TEWKSBURY,"$           4,646,510"
01879 + TYNGSBORO,"$           4,251,163"
01880 + WAKEFIELD,"$           2,944,991"
01886 + WESTFORD,"$           1,357,607"
01887 + WILMINGTON,"$              927,545"
01890 + WINCHESTER,"$              800,817"
01901 + LYNN,"$           1,425,602"
01902 + LYNN,"$           6,811,220"
01904 + LYNN,"$           3,345,262"
01905 + LYNN,"$           4,857,335"
01906 + SAUGUS,"$           5,421,909"
01907 + SWAMPSCOTT,"$              313,473"
01908 + NAHANT,"$           1,118,539"
01913 + AMESBURY,"$              717,365"
01915 + BEVERLY,"$           5,609,842"
01922 + BYFIELD,"$              287,213"
01923 + DANVERS,"$           4,880,841"
01929 + ESSEX,"$                 31,279"
01930 + GLOUCESTER,"$           4,186,652"
01930 + MAGNOLIA,"$              563,981"
01938 + IPSWICH,"$           1,590,968"
01940 + LYNNFIELD,"$              683,485"
01944 + MANCHESTER,"$              205,426"
01945 + MARBLEHEAD,"$              297,569"
01949 + MIDDLETON,"$           2,836,912"
01950 + NEWBURYPORT,"$              779,283"
01951 + NEWBURY,"$                   7,031"
01952 + SALISBURY,"$         10,883,153"
01960 + PEABODY,"$         10,610,007"
01960 + W PEABODY,$                            -
01966 + ROCKPORT,$                            -
01969 + ROWLEY,"$              168,337"
01970 + SALEM,"$           5,654,945"
01982 + HAMILTON,"$                 51,588"
01983 + TOPSFIELD,"$                   8,328"
01984 + WENHAM,"$                 18,612"
01985 + W NEWBURY,"$                   2,898"
02019 + BELLINGHAM,"$           1,241,693"
02020 + BRANT ROCK,"$              861,493"
02020 + MARSHFIELD,$                            -
02021 + CANTON,"$           2,668,761"
02025 + COHASSET,"$              138,722"
02026 + DEDHAM,"$           6,022,625"
02030 + DOVER,"$                   3,903"
02032 + E WALPOLE,"$                   4,606"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02035 + FOXBORO,"$           1,409,580"
02038 + FRANKLIN,"$           2,609,174"
02041 + GREEN HARBOR,"$                 27,434"
02043 + HINGHAM,"$           1,488,864"
02045 + HULL,"$           1,149,802"
02047 + HUMAROCK,$                            -
02048 + MANSFIELD,"$           1,143,955"
02050 + MARSHFIELD,"$           3,485,535"
02051 + MARSHFIELD,$                      862
02052 + MEDFIELD,"$              610,087"
02053 + MEDWAY,"$           1,511,694"
02054 + MILLIS,"$              741,431"
02056 + NORFOLK,"$              430,569"
02061 + NORWELL,"$              145,773"
02062 + NORWOOD,"$           7,607,514"
02066 + SCITUATE,"$              543,588"
02067 + SHARON,"$                 30,140"
02070 + SHELDONVILLE,"$                   7,051"
02072 + STOUGHTON,"$           4,361,981"
02081 + WALPOLE,"$              983,098"
02090 + WESTWOOD,"$                 48,944"
02093 + WRENTHAM,"$              556,488"
02100 + DORCHESTER,$                            -
02108 + BOSTON,"$           1,360,669"
02109 + BOSTON,"$              961,728"
02110 + BOSTON,"$              228,746"
02111 + BOSTON,"$           2,476,622"
02113 + BOSTON,"$              688,394"
02114 + BOSTON,"$              226,973"
02115 + BOSTON,"$              283,250"
02116 + BOSTON,"$           1,349,415"
02117 + BOSTON,"$                   1,240"
02118 + BOSTON,"$              293,929"
02118 + ROXBURY,$                            -
02119 + BOSTON,"$                 19,546"
02119 + DORCHESTER,"$                   2,518"
02119 + ROXBURY,"$                 93,924"
02120 + BOSTON,"$                 22,870"
02120 + ROXBURY,"$              442,182"
02121 + DORCHESTER,"$              139,521"
02121 + ROXBURY,"$                 25,512"
02122 + DORCHESTER,"$           6,769,182"
02124 + DORCHESTER,"$           1,661,310"
02125 + DORCHESTER,"$           3,062,281"
02126 + DORCHESTER,"$                   1,588"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02127 + BOSTON,$                            -
02127 + S BOSTON,"$           9,850,777"
02128 + E BOSTON,"$           5,876,022"
02129 + CHARLESTOWN,"$           1,137,205"
02130 + JAMAICA PLAIN,"$           2,740,706"
02131 + ROSLINDALE,"$           4,790,333"
02132 + W ROXBURY,"$           3,717,529"
02134 + ALLSTON,"$           1,307,679"
02135 + ALLSTON,"$              208,364"
02135 + BRIGHTON,"$           2,616,508"
02136 + HYDE PARK,"$           2,450,562"
