violator_id,violator_name,citation_no,case_no,standard_no,standard_link,proposed_penalty,amount_paid
3609931,M.R. Dirt Inc.,9317668,,50.30(a),http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.50_130&rgn=div8,,
3609931,M.R. Dirt Inc.,8928850,000421654,56.9301,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9301.pdf,114.00,114.00
3609931,M.R. Dirt Inc.,8807882,000380669,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14132.pdf,100.00,100.00
3609931,M.R. Dirt Inc.,8650963,000282555,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,100.00,100.00
3609931,M.R. Dirt Inc.,8650926,000274355,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-1000.pdf,100.00,100.00
3609931,M.R. Dirt Inc.,8645898,000262818,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf,100.00,100.00
3609931,M.R. Dirt Inc.,8645896,000262818,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14107.pdf,100.00,100.00
3609931,M.R. Dirt Inc.,8645897,000262818,56.3200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-3200.pdf,108.00,108.00
