violator_id,violator_name,citation_no,case_no,standard_no,standard_link,proposed_penalty,amount_paid
0801306,"Holley Dirt Company, Inc",6092154,080130605503,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-20003.pdf,60.00,60.00
0801306,"Holley Dirt Company, Inc",6092153,080130605503,56.14103(c)(1),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-14103.pdf,106.00,106.00
0801306,"Holley Dirt Company, Inc",6092151,080130605503,56.4402,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-4402.pdf,133.00,133.00
0801306,"Holley Dirt Company, Inc",6092152,080130605503,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-9300.pdf,60.00,60.00
0801306,"Holley Dirt Company, Inc",7763978,080130605502,56.4230(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-4230.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7763976,080130605502,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14100.pdf,104.00,104.00
0801306,"Holley Dirt Company, Inc",7763977,080130605502,56.14132(b)(1)(i),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14132.pdf,104.00,104.00
0801306,"Holley Dirt Company, Inc",7763975,080130605502,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-20003.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7763979,080130605502,56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-16006.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764984,080130605501,62.130(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec62-130.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764903,080130605501,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-18010.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764906,080130605501,,,,
0801306,"Holley Dirt Company, Inc",7764902,080130605501,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12004.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764905,080130605501,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-1000.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764908,080130605501,56.12013,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12013.pdf,113.00,113.00
0801306,"Holley Dirt Company, Inc",7764907,080130605501,56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14130.pdf,113.00,113.00
0801306,"Holley Dirt Company, Inc",7764904,080130605501,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12028.pdf,55.00,55.00
0801306,"Holley Dirt Company, Inc",7764901,080130605501,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14107.pdf,55.00,55.00
