time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-02T22:42:43.260Z,59.8145,-136.5786,0,2.4,ml,,,,0.83,ak,ak15879840,2017-05-02T22:46:59.908Z,"81km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T22:31:08.237Z,63.0519,-149.2585,70.1,1.5,ml,,,,0.68,ak,ak15879838,2017-05-02T22:35:03.568Z,"40km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-02T22:22:28.030Z,59.7759,-136.6597,2.31,3,ml,,114,0.565,0.94,us,us10008nm1,2017-05-02T22:34:42.040Z,"83km WNW of Skagway, Alaska",earthquake,2.8,9.8,0.055,43,reviewed,us,us
2017-05-02T22:18:52.010Z,36.2316667,-89.4696667,4.54,2.4,md,36,37,0.03986,0.2,nm,nm60165817,2017-05-03T01:46:33.807Z,"3km SSE of Ridgely, Tennessee",earthquake,0.28,0.32,0.415,17,reviewed,nm,nm
2017-05-02T22:16:39.940Z,59.82,-136.7795,0,2.5,ml,,,,0.59,ak,ak15879832,2017-05-02T22:20:25.654Z,"91km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T22:16:10.360Z,43.3651667,-123.1426667,-0.57,1.4,ml,4,157,0.07462,0.1,uw,uw61277656,2017-05-02T22:50:42.440Z,"7km NNW of Glide, Oregon",explosion,1.32,31.61,0.09,2,reviewed,uw,uw
2017-05-02T22:14:30.126Z,59.7845,-136.6986,0,1.7,ml,,,,0.62,ak,ak15878894,2017-05-02T22:18:44.580Z,"86km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T22:10:34.840Z,19.4056664,-155.2841644,1.51,2.52,md,17,63,0.007034,0.14,hv,hv61727121,2017-05-02T22:13:33.010Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.33,0.08,10,automatic,hv,hv
2017-05-02T21:43:34.640Z,46.9658333,-120.3625,-0.56,1.33,ml,8,197,0.2605,0.19,uw,uw61277631,2017-05-02T22:02:19.670Z,"4km ESE of Kittitas, Washington",explosion,1.16,31.61,0.052,5,reviewed,uw,uw
2017-05-02T21:37:23.018Z,50.8943,-178.8727,105.2,2.5,ml,,,,0.03,ak,ak15878883,2017-05-03T01:59:27.645Z,"44km SSE of Amatignak Island, Alaska",earthquake,,12,,,reviewed,ak,ak
2017-05-02T21:31:23.970Z,19.2224998,-155.414505,33.97,2,md,37,144,0.02193,0.14,hv,hv61726941,2017-05-02T21:34:52.490Z,"7km ENE of Pahala, Hawaii",earthquake,0.49,0.55,0.15,9,automatic,hv,hv
2017-05-02T21:29:47.150Z,19.560667,-155.1768341,10.31,2.22,ml,9,208,0.1804,0.38,hv,hv61726936,2017-05-02T21:35:28.050Z,"7km W of Mountain View, Hawaii",earthquake,3.56,13.62,0.2,14,automatic,hv,hv
2017-05-02T21:24:17.699Z,51.4899,-178.5063,6.5,1.8,ml,,,,0.52,ak,ak15878872,2017-05-03T01:52:03.885Z,"48km ENE of Amatignak Island, Alaska",earthquake,,3,,,reviewed,ak,ak
2017-05-02T21:16:54.070Z,49.4771667,-120.5456667,-1.5,2.27,ml,11,273,0.9705,0.26,uw,uw61277616,2017-05-02T21:58:39.060Z,"3km NW of Princeton, Canada",explosion,3.42,31.61,0.168,9,reviewed,uw,uw
2017-05-02T21:12:55.100Z,39.253,-120.1735,0,2.9,mh,0,355,1.871,4.07,nc,nc72796075,2017-05-03T00:26:07.250Z,"8km S of Truckee, California",sonic boom,98.99,77.55,,0,reviewed,nc,nc
2017-05-02T21:12:11.540Z,35.8557,60.5732,10,5.1,mb,,53,2.005,0.79,us,us10008nl9,2017-05-02T23:34:38.497Z,"68km N of Torbat-e Jam, Iran",earthquake,6.6,1.9,0.05,133,reviewed,us,us
2017-05-02T21:11:54.423Z,59.7335,-136.7323,0,2,ml,,,,0.71,ak,ak15877930,2017-05-02T21:16:33.741Z,"85km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T21:08:52.077Z,59.7634,-136.6688,0,1.6,ml,,,,0.81,ak,ak15877929,2017-05-02T21:13:11.626Z,"83km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T20:56:49.320Z,59.9408,-136.8483,0.1,2.1,ml,,,,0.53,ak,ak15877924,2017-05-02T21:01:25.867Z,"97km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T20:54:37.600Z,38.8256683,-122.7998352,2.44,1.18,md,16,75,0.008314,0.02,nc,nc72796055,2017-05-02T21:38:03.180Z,"6km W of Cobb, California",earthquake,0.27,0.54,0.18,4,automatic,nc,nc
2017-05-02T20:53:40.120Z,38.8266667,-122.7976667,2.58,2.3,md,69,41,0.01023,0.04,nc,nc72796050,2017-05-03T00:42:02.285Z,"6km W of Cobb, California",earthquake,0.12,0.18,0.182,41,reviewed,nc,nc
2017-05-02T20:49:47.840Z,59.748,-136.76,4.96,2.9,ml,,93,0.51,1.08,us,us10008nky,2017-05-02T21:37:19.040Z,"87km WNW of Skagway, Alaska",earthquake,2.6,8,0.049,54,reviewed,us,us
2017-05-02T20:39:26.891Z,59.7993,-136.7334,0,2.4,ml,,,,0.71,ak,ak15877919,2017-05-02T20:44:06.500Z,"88km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T20:07:27.388Z,66.014,-147.8382,4.6,1.6,ml,,,,0.81,ak,ak15876977,2017-05-02T20:21:05.363Z,"129km N of College, Alaska",earthquake,,0.2,,,automatic,ak,ak
