code,name,oldprice,price,url
67360-C,Nepped T-shirt,$17.99,$7.99,http://api.hm.com/us/product/67360?article=67360-C
43558-G,Polo Shirt,$12.99,$5.99,http://api.hm.com/us/product/43558?article=43558-G
69910-C,Wide-cut Top,$17.99,$7.99,http://api.hm.com/us/product/69910?article=69910-C
69264-B,Jersey Top with Ruffles,$24.99,$12.99,http://api.hm.com/us/product/69264?article=69264-B
68161-A,Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/68161?article=68161-A
62593-D,Cotton-blend T-shirt,$9.99,$5.99,http://api.hm.com/us/product/62593?article=62593-D
91281-B,Long T-shirt,$9.99,$5.99,http://api.hm.com/us/product/91281?article=91281-B
59740-C,Ribbed Polo Shirt,$17.99,$7.99,http://api.hm.com/us/product/59740?article=59740-C
68093-B,Camisole Top with Knot,$14.99,$9.99,http://api.hm.com/us/product/68093?article=68093-B
38006-C,Jersey Top,$9.99,$6.99,http://api.hm.com/us/product/38006?article=38006-C
67360-B,Nepped T-shirt,$17.99,$7.99,http://api.hm.com/us/product/67360?article=67360-B
62613-E,Lace Top,$29.99,$17.99,http://api.hm.com/us/product/62613?article=62613-E
65897-B,Short Top,$12.99,$7.99,http://api.hm.com/us/product/65897?article=65897-B
65632-A,Metallic Bodysuit,$17.99,$9.99,http://api.hm.com/us/product/65632?article=65632-A
67801-B,Draped Top,$17.99,$9.99,http://api.hm.com/us/product/67801?article=67801-B
66557-A,Printed Jersey Bodysuit,$14.99,$9.99,http://api.hm.com/us/product/66557?article=66557-A
46245-H,Jersey Camisole Top,$4.99,$2.99,http://api.hm.com/us/product/46245?article=46245-H
68936-A,Wide T-shirt with Chest Pocket,$24.99,$12.99,http://api.hm.com/us/product/68936?article=68936-A
89119-M,V-neck Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/89119?article=89119-M
56535-A,Long-sleeved Jersey Top,$12.99,$7.99,http://api.hm.com/us/product/56535?article=56535-A
