code,name,oldprice,price,url
59142-A,Long-sleeved Jersey Top,$29.99,$14.99,http://api.hm.com/us/product/59142?article=59142-A
47995-A,Short Satin Top,$34.99,$17.99,http://api.hm.com/us/product/47995?article=47995-A
67864-A,Short Top,$17.99,$9.99,http://api.hm.com/us/product/67864?article=67864-A
61712-D,Draped Top,$19.99,$9.99,http://api.hm.com/us/product/61712?article=61712-D
54285-B,Long-sleeved Jersey Top,$17.99,$12.99,http://api.hm.com/us/product/54285?article=54285-B
64828-E,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/64828?article=64828-E
67529-C,Short Sweatshirt,$34.99,$19.99,http://api.hm.com/us/product/67529?article=67529-C
68411-A,Cupro-blend Top,$39.99,$24.99,http://api.hm.com/us/product/68411?article=68411-A
69616-B,Velour Top,$24.99,$14.99,http://api.hm.com/us/product/69616?article=69616-B
38130-C,Long-sleeved Lace Top,$24.99,$19.99,http://api.hm.com/us/product/38130?article=38130-C
68808-A,Velour Camisole Top,$17.99,$9.99,http://api.hm.com/us/product/68808?article=68808-A
52822-A,Sleeveless Turtleneck Sweater,$24.99,$17.99,http://api.hm.com/us/product/52822?article=52822-A
67464-A,Top with Smocking,$29.99,$17.99,http://api.hm.com/us/product/67464?article=67464-A
44550-B,Fine-knit Glittery Top,$24.99,$14.99,http://api.hm.com/us/product/44550?article=44550-B
56300-F,Ribbed Jersey Top,$17.99,$7.99,http://api.hm.com/us/product/56300?article=56300-F
66151-A,Jersey Top with Printed Design,$24.99,$14.99,http://api.hm.com/us/product/66151?article=66151-A
76777-B,Ribbed Top,$17.95,$10,http://api.hm.com/us/product/76777?article=76777-B
66154-C,Wide-cut T-shirt,$12.99,$7.99,http://api.hm.com/us/product/66154?article=66154-C
68689-A,Crêped Jersey Top,$29.99,$14.99,http://api.hm.com/us/product/68689?article=68689-A
67259-C,Fine-knit Camisole Top,$29.99,$12.99,http://api.hm.com/us/product/67259?article=67259-C
55497-E,V-neck Camisole Top,$39.99,$19.99,http://api.hm.com/us/product/55497?article=55497-E
46814-G,V-neck Top,$29.99,$12.99,http://api.hm.com/us/product/46814?article=46814-G
64990-A,T-shirt with Printed Design,$14.99,$9.99,http://api.hm.com/us/product/64990?article=64990-A
62754-B,Long-sleeved Top,$17.99,$12.99,http://api.hm.com/us/product/62754?article=62754-B
67857-A,V-neck Camisole Top,$34.99,$19.99,http://api.hm.com/us/product/67857?article=67857-A
61028-A,Top with Open Back,$17.99,$9.99,http://api.hm.com/us/product/61028?article=61028-A
65855-D,Loose-knit Top,$24.99,$14.99,http://api.hm.com/us/product/65855?article=65855-D
53502-A,Halterneck Top,$34.99,$19.99,http://api.hm.com/us/product/53502?article=53502-A
39668-B,Ribbed Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/39668?article=39668-B
68989-B,Camisole Top with Flounce,$12.99,$7.99,http://api.hm.com/us/product/68989?article=68989-B
68538-A,Tulle Top,$39.99,$19.99,http://api.hm.com/us/product/68538?article=68538-A
67836-B,One-shoulder Top,$17.99,$7.99,http://api.hm.com/us/product/67836?article=67836-B
60992-B,V-neck Bodysuit,$24.99,$17.99,http://api.hm.com/us/product/60992?article=60992-B
47998-B,Jersey Tank Top,$12.99,$7.99,http://api.hm.com/us/product/47998?article=47998-B
58956-B,Glittery Camisole Top,$24.99,$17.99,http://api.hm.com/us/product/58956?article=58956-B
53308-A,Short Glittery Top,$29.99,$14.99,http://api.hm.com/us/product/53308?article=53308-A
98637-A,Beaded Lace Top,$39.95,$20,http://api.hm.com/us/product/98637?article=98637-A
57920-D,Long Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/57920?article=57920-D
69616-C,Velour Top,$24.99,$14.99,http://api.hm.com/us/product/69616?article=69616-C
70150-C,Crushed-velvet Top,$14.99,$9.99,http://api.hm.com/us/product/70150?article=70150-C
58495-A,Sequined Tank Top,$34.99,$19.99,http://api.hm.com/us/product/58495?article=58495-A
56889-D,Ribbed Top,$17.99,$9.99,http://api.hm.com/us/product/56889?article=56889-D
69616-A,Velour Top,$24.99,$14.99,http://api.hm.com/us/product/69616?article=69616-A
58474-A,Sequined Top,$49.99,$29.99,http://api.hm.com/us/product/58474?article=58474-A
51196-D,Sleeveless Top,$29.99,$14.99,http://api.hm.com/us/product/51196?article=51196-D
55410-B,Mock-turtleneck Top,$17.99,$9.99,http://api.hm.com/us/product/55410?article=55410-B
62105-A,Short Top with Lacing,$29.99,$17.99,http://api.hm.com/us/product/62105?article=62105-A
54285-A,Long-sleeved Jersey Top,$17.99,$12.99,http://api.hm.com/us/product/54285?article=54285-A
64828-D,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/64828?article=64828-D
55016-A,Ribbed Mock Turtleneck Sweater,$34.99,$19.99,http://api.hm.com/us/product/55016?article=55016-A
58826-A,V-neck Camisole Top,$14.99,$12.99,http://api.hm.com/us/product/58826?article=58826-A
67836-A,One-shoulder Top,$17.99,$7.99,http://api.hm.com/us/product/67836?article=67836-A
69676-A,Crushed-velvet Camisole Top,$34.99,$24.99,http://api.hm.com/us/product/69676?article=69676-A
66218-D,Long-sleeved T-shirt,$17.99,$9.99,http://api.hm.com/us/product/66218?article=66218-D
58956-A,Glittery Camisole Top,$24.99,$17.99,http://api.hm.com/us/product/58956?article=58956-A
50693-C,V-neck Top,$29.99,$17.99,http://api.hm.com/us/product/50693?article=50693-C
67944-B,Fitted Lace Top,$24.99,$14.99,http://api.hm.com/us/product/67944?article=67944-B
42177-A,Wrap-front Top,$29.99,$14.99,http://api.hm.com/us/product/42177?article=42177-A
88680-M,Fitted Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/88680?article=88680-M
30892-A,Lace Top,$24.95,$12.99,http://api.hm.com/us/product/30892?article=30892-A
59381-A,Sequined Camisole Top,$34.99,$17.99,http://api.hm.com/us/product/59381?article=59381-A
56723-A,Satin Peplum Top,$34.99,$24.99,http://api.hm.com/us/product/56723?article=56723-A
60809-A,Flounced Chiffon Camisole Top,$29.99,$14.99,http://api.hm.com/us/product/60809?article=60809-A
55491-B,Sequined Camisole Top,$49.99,$29.99,http://api.hm.com/us/product/55491?article=55491-B
39074-A,Jersey Top with Lace,$24.99,$14.99,http://api.hm.com/us/product/39074?article=39074-A
45952-B,Cropped Camisole Top,$29.99,$14.99,http://api.hm.com/us/product/45952?article=45952-B
41726-A,Camisole Top,$34.99,$17.99,http://api.hm.com/us/product/41726?article=41726-A
46224-A,Sleeveless Chiffon Top,$24.99,$17.99,http://api.hm.com/us/product/46224?article=46224-A
37042-B,Glittery Top,$49.99,$34.99,http://api.hm.com/us/product/37042?article=37042-B
30028-A,Long-sleeved Jersey Top,$12.99,$7.99,http://api.hm.com/us/product/30028?article=30028-A
